921,29.448907,0.8002992,0.4750564
922,28.684473,0.8408312,0.493259
923,37.63727,0.8493248,0.4855808
924,43.746983,0.8461532,0.487057
925,14.498145,0.7897854,0.393907
926,32.322133,0.8211008,0.426205
927,7.639542,0.7789796,0.4335186
928,23.890921,0.789885,0.4622364
929,11.005212,0.8120818,0.4365894
930,15.411186,0.8095376,0.4628004
931,28.997241,0.8578062,0.4763044
932,25.787958,0.849613,0.4779822
933,21.797721,0.7916402,0.421316
934,24.004588,0.8592328,0.4793928
935,22.633058,0.820206,0.4152768
936,10.741009,0.7868202,0.437859
937,9.351028,0.7750196,0.4137896
938,28.189065,0.833114,0.5349438
939,21.21393,0.8147766,0.4342066
940,19.44125,0.8353252,0.479078
941,30.434815,0.8197726,0.4220054
942,37.414831,0.7786588,0.3898962
943,20.774895,0.8161576,0.44393
944,24.705879,0.8464008,0.5075096
945,23.319781,0.7604236,0.3839432
946,19.640364,0.7778498,0.4340522
947,12.698241,0.7852956,0.3977802
948,6.617692,0.8175316,0.4882038
949,26.928273,0.8615204,0.5089762
950,24.213407,0.7848982,0.4740138
951,29.514953,0.7823378,0.4088376
952,21.970607,0.8189552,0.4515448
953,31.688798,0.8808424,0.499787
954,17.128498,0.819021,0.4513416
955,35.574117,0.8495806,0.5096164
956,22.102684,0.838006,0.5000196
957,5.71338,0.7531148,0.3824326
958,42.796389,0.8512718,0.510273
959,28.487262,0.8103868,0.438311
960,23.913258,0.8478826,0.4772142
961,31.211872,0.7877882,0.4270554
962,22.992429,0.8522494,0.496517
963,35.21665,0.842097,0.466606
964,11.083874,0.7971952,0.4159432
965,14.768141,0.7873736,0.4151278
966,16.541797,0.8220686,0.445005
967,22.79719,0.8458514,0.4971616
968,19.547101,0.8292694,0.468249
969,36.175338,0.8626288,0.47267
970,34.365739,0.7784832,0.4197236
971,34.189722,0.8419732,0.4600338
972,24.117215,0.822144,0.4564394
973,19.345063,0.8652216,0.5116854
974,23.194449,0.7901686,0.4443854
975,18.239678,0.80411,0.4786066
976,25.959821,0.8698952,0.5038362
977,33.550788,0.8228972,0.4654692
978,7.90919,0.8156544,0.4310192
979,14.697228,0.8248046,0.4246316
980,25.545056,0.8267336,0.4120824
A01,15.217884,0.815272,0.4638682
A02,11.706512,0.7611568,0.3745186
A03,14.420416,0.8214544,0.46384
A04,12.867253,0.755818,0.3837708
A05,12.732236,0.7789502,0.3791434
A06,24.511591,0.8062662,0.4720888
A07,10.552562,0.8235898,0.4652814
A08,13.993022,0.7476352,0.3522744
A09,9.376275,0.8079686,0.4372124
A10,23.86662,0.8394212,0.5068228
A11,9.189781,0.784735,0.434835
A12,9.669621,0.7927046,0.4452948
A13,7.143184,0.7644368,0.4031714
A14,10.644842,0.7883994,0.4052278
A15,16.587461,0.8286276,0.4772028
A16,24.157064,0.839696,0.4991798
A17,22.119204,0.788666,0.3899964
A18,10.546737,0.8058636,0.4413134
A19,9.68322,0.79457,0.3952464
A20,20.419364,0.8367228,0.4673216
A21,11.057654,0.7917264,0.3921518
A22,9.811433,0.786976,0.3767402
A23,8.232045,0.8700802,0.5450732
A24,7.955214,0.774308,0.3984466
A25,10.652604,0.7597132,0.29513
A26,13.196525,0.7950246,0.4061402
A27,17.38977,0.8160964,0.4527742
A28,11.499609,0.7800144,0.4193398
A29,7.793976,0.8426578,0.4643086
A30,9.508379,0.8054978,0.4473446
A31,26.582474,0.8366416,0.5234914
A32,19.08767,0.8345466,0.463747
A33,23.266342,0.8193168,0.4600426
A34,21.358642,0.8378466,0.4975792
A35,18.082333,0.8640648,0.5316658
A36,26.820442,0.8798472,0.599682
A37,21.968632,0.8144698,0.4582144
A38,9.522945,0.825144,0.4597838
A39,19.121652,0.8423136,0.5120552
A40,14.028954,0.8064462,0.415026
A41,12.323238,0.825794,0.4797706
A42,8.855877,0.8330548,0.4319398
A43,27.818806,0.8323654,0.4722138
A44,13.310636,0.8676186,0.5371706
A45,19.521154,0.840711,0.4472906
A46,23.425043,0.813196,0.4795364
A47,13.98715,0.829317,0.4391648
A48,12.328622,0.8039294,0.446384
A49,22.156572,0.8394156,0.4614064
A50,11.308809,0.8055238,0.4259004
A51,20.020018,0.832014,0.498687
A52,21.130472,0.8405838,0.4566212
A53,17.772402,0.8479182,0.5442614
A54,19.53732,0.8046358,0.4410852
A55,27.155379,0.8420632,0.5294744
A56,11.408447,0.8393082,0.4907282
A57,11.212213,0.8053968,0.4371036
A58,19.160374,0.847886,0.4564712
A59,8.967846,0.8129794,0.441777
A60,25.073186,0.839565,0.4803426
A61,27.35157,0.819882,0.5020444
A62,22.625573,0.8003338,0.4773466
A63,10.053252,0.8260392,0.4245334
A64,28.277705,0.857999,0.4593446
A65,21.301358,0.8288034,0.4360516
A66,24.731615,0.8207354,0.4607274
A67,22.720194,0.8103754,0.433789
A68,15.322278,0.7922366,0.4449314
A69,21.257824,0.8437844,0.4854832
A70,11.208601,0.8541168,0.4658708
A71,11.941549,0.8430748,0.5159002
A72,16.429516,0.7958692,0.4236264
A73,5.592086,0.7872932,0.4314088
A74,1.673161,0.7730464,0.3767174
A75,17.60872,0.828991,0.4857126
A76,10.651611,0.8658566,0.5256972
A77,9.054844,0.8471164,0.5139284
A78,13.657907,0.830807,0.4592914
A79,23.28199,0.8079934,0.4339988
A80,29.421743,0.8210144,0.4270198
