29.448907,0.8002992,0.4750564,2.607,1.9,18.2,7.8
28.684473,0.8408312,0.493259,3.623,1.3,18.6,8.77
37.63727,0.8493248,0.4855808,2.997,0.54,22.3,9.8
43.746983,0.8461532,0.487057,3.109,1.28,19.4,8.62
14.498145,0.7897854,0.393907,2.394,0.24,19,6.67
32.322133,0.8211008,0.426205,2.614,0.54,26.6,9.9
7.639542,0.7789796,0.4335186,2.533,1.12,17.1,7.92
23.890921,0.789885,0.4622364,2.177,0.79,22.5,8.78
11.005212,0.8120818,0.4365894,2.415,0.72,21.4,8.12
15.411186,0.8095376,0.4628004,3.548,1.02,16.3,6.2
28.997241,0.8578062,0.4763044,3.153,1.25,22.3,10.05
25.787958,0.849613,0.4779822,2.21,1.25,18,8.72
21.797721,0.7916402,0.421316,2.302,1.02,17,7.47
24.004588,0.8592328,0.4793928,2.11,1.38,19.9,7.72
22.633058,0.820206,0.4152768,2.634,1.24,19.3,7.25
10.741009,0.7868202,0.437859,2.472,1.26,21.2,5.84
9.351028,0.7750196,0.4137896,2.846,0.69,24.2,8.82
28.189065,0.833114,0.5349438,2.122,0.86,21.5,10.22
21.21393,0.8147766,0.4342066,2.4,1.24,16.8,7.53
19.44125,0.8353252,0.479078,2.504,1.33,17,8.54
30.434815,0.8197726,0.4220054,2.598,0.96,17.2,7.23
37.414831,0.7786588,0.3898962,2.892,1.09,21.3,9.95
20.774895,0.8161576,0.44393,2.479,1.28,17,8.14
24.705879,0.8464008,0.5075096,2.169,0.89,24.5,9.07
23.319781,0.7604236,0.3839432,2.783,1.44,17,7.78
19.640364,0.7778498,0.4340522,2.265,1.12,20.5,7.48
12.698241,0.7852956,0.3977802,2.292,1.07,17.7,6.36
6.617692,0.8175316,0.4882038,2.24,1.18,22.3,5.34
26.928273,0.8615204,0.5089762,3.725,0.86,23.4,9.37
24.213407,0.7848982,0.4740138,3.638,1.77,13.3,9.32
29.514953,0.7823378,0.4088376,3.38,1.42,18.2,8.76
21.970607,0.8189552,0.4515448,3.626,1.45,17.9,8.28
31.688798,0.8808424,0.499787,3.415,1.53,19.7,9.22
17.128498,0.819021,0.4513416,2.91,1.36,17.4,8.09
35.574117,0.8495806,0.5096164,2.339,0.84,25,8.86
22.102684,0.838006,0.5000196,2.925,0.83,19.7,7.46
5.71338,0.7531148,0.3824326,3.479,1.18,22.5,8.36
42.796389,0.8512718,0.510273,3.223,1.12,22.5,11.32
